"Track","status","schedule"
"TUP","On Going","Saturday, Monday, Wednesday"
"TUP","On Going","Thur, Fri "
"TUP","On Going","Sun, Tue, Thu"
"TUP","On Going","Saturday, Monday, Wednesday"
"TUP","On Going","Sat, Mon, Wed"
"TUP","On Going","Sat, Mon, Wed"
"TUP","On Going","Sat, Mon, Wed"
"TUP","On Going","Sunday, Tuesday, Thursday"
"TUP","On Going","Sunday, Tuesday, Thursday"
"FS","On Going","Saturday, Monday, Wednesday"
"FS","On Going","Sunday, Tuesday, Thursday"
"FS","On Hold","Sat, Mon, Wed"
"FS","On Going","Sunday, Tuesday, Thursday"
"TUP","On Going","Thurs, Fri, Sat"
"TUP","On Going","Thurs, Fri, Sat"
"FS","On Going","Sat, Mon, Wed"
"FS","On Going","Sun, Tue, Thurs"
"FS","On Hold","Sun, Tue, Thurs"
"FS","On Hold","Sun, Tue, Thurs"
"FS","On Hold","Sat, Mon, Wed"
"TUP","On going","Sat,Sun,Mon,Tues,Wed,Thurs"
"TUP","On going","Sat,Sun,Mon,Tues,Wed,Thurs"
"TUP","On going","Sun,Mon,Tues,Wed,Thurs"
"TUP","On going","Mon,Tues,Wed,Thurs,Fri"